199996
0 1 2
1 30506 2
75283 70659 2
48142 25922 1
96282 79764 1
38333 80842 2
84838 38333 2
24755 37744 2
37744 84838 2
70659 6405 2
6405 81462 2
40024 24755 2
81462 40024 2
61638 72767 2
72767 88730 2
88730 75283 2
77800 40712 1
40712 61938 1
62554 80586 1
61938 62554 1
80586 6171 1
6171 48142 1
79764 53413 1
53413 29533 1
25922 97457 1
97457 96282 1
16295 32766 2
54720 16295 2
32766 12681 2
12681 61638 2
61764 71622 1
29533 78203 1
78203 61764 1
58163 65283 0
83371 66344 0
94200 54720 2
54720 94200 47658
24805 14423 2
91143 98375 77800
52290 73453 73064
12221 73453 52290
73064 73453 75583
73453 86712 75583
73453 12221 86712
83119 67948 81167
67948 11804 45649
83352 3942 2
3942 94200 2
80713 83352 2
44981 78634 14215
1389 78634 59622
78634 1389 14215
68157 90708 1
59583 27178 0
27178 16746 0
23978 36331 0
59966 24076 97128
59966 48913 24076
48913 59966 52053
53413 66165 29533
71622 12445 1
17226 14351 48825
50712 72688 0
58163 24282 65283
86869 58163 82948
86869 57003 58163
73097 24932 32580
79008 32414 66344
48913 15203 24076
12221 44775 86712
52103 59583 0
75464 52103 0
94649 67948 45649
67948 94649 81167
97033 11804 67948
97033 67948 83119
43572 97033 22940
97033 43572 11804
24076 14517 97128
25597 22223 38906
89668 8770 48868
32374 4769 98273
4769 32374 73674
32374 6530 73674
46424 16295 54720
45391 54720 47658
45391 67234 54720
38333 12276 80842
3526 12276 38333
24910 86616 2
86616 80713 2
60545 49043 2
46498 57619 2
41717 24805 2
93628 78323 1
78323 30778 1
46312 77595 1
42351 46312 1
1389 64391 14215
64391 1389 53075
1389 79957 53075
79957 1389 59622
42479 17384 40680
2 52429 0
23790 52429 2
49981 52429 23790
31344 24142 23790
31344 23790 2
81191 68157 1
68157 81191 66214
95887 14610 28657
14250 4613 73666
93526 51459 246
21558 39527 48663
20949 37185 91318
37185 98692 91318
37185 20949 48663
61871 68157 66214
27178 53863 16746
79145 27178 59583
9759 43572 22940
59966 9759 52053
43572 9759 97128
9759 59966 97128
47817 9222 41305
51024 66165 53413
66165 51024 37894
44083 53413 79764
66165 17947 29533
97613 17947 66165
37258 67169 77673
67169 17947 97613
67169 37258 29533
17947 67169 29533
78203 1683 61764
76384 12445 71622
17226 76384 71622
76384 17226 48825
1916 67187 83756
43557 72688 50712
24282 22253 66556
57003 11155 58163
51850 24283 0
16278 46257 57792
57792 11407 50712
46257 11407 57792
29707 61756 66556
73097 49317 24932
21230 73097 32580
15203 28603 40404
28603 15203 48913
20003 15203 40404
44775 83509 41905
90443 27052 96824
33085 43572 97128
14517 33085 97128
51308 20003 91350
20003 51308 15203
42917 40340 90623
42917 14517 24076
14517 42917 90623
15203 42917 24076
51308 42917 15203
87918 20928 12953
92983 25597 38906
25597 26056 80631
80631 26056 62995
8770 8119 52858
89668 8119 8770
33701 11696 54817
46179 90072 68406
90072 46179 84594
21102 93458 53936
77272 93455 67979
77272 32470 93455
56779 69471 67979
93455 56779 67979
69471 68515 67979
23774 94210 13956
69368 23774 13956
23774 69368 25279
69368 68515 25279
4536 23774 25279
4536 26330 45077
4536 12837 26330
26330 11333 45077
68720 51406 1206
51406 64034 17715
64034 51406 14203
69427 51460 36620
49453 69427 36620
51460 70096 36620
62883 78267 19402
10810 12829 41334
28745 10810 41334
99395 4769 73674
58955 32374 98273
88994 13378 47399
13378 88994 73154
84244 88364 29259
88364 84244 13875
15147 84244 29259
73630 46424 54720
29023 73630 41064
73630 29023 46424
56934 67234 25187
15394 56934 25187
40024 2290 24755
16295 87941 32766
72552 91674 80842
12276 72552 80842
48060 76505 88920
81130 48060 80842
80713 59051 83352
24719 60545 2
72861 68383 68063
68383 79319 68063
41717 6613 37003
14423 91582 2
91582 13765 2
91582 74768 13765
9001 14325 1
1736 54682 77595
1736 83044 54682
30506 69319 2
50259 79957 59622
2227 67466 38345
99738 67466 6269
79957 60879 53075
60879 2227 38345
67466 90413 38345
74514 49981 23790
94305 13771 40680
69260 68552 86226
81191 6349 32596
14250 65905 88136
94997 65905 0
92144 57101 16985
57101 54945 16985
54945 57101 92144
61190 90599 18195
54945 36945 91753
90599 36945 19994
